"Drug","MW","IndividualId","CL_L_h_kg","Vc_L_kg","Q_L_h_kg","Vp_L_kg","Rtot_nM","kdeg_h","kint_h","Kss_nM"
"Avelumab",147000,5,0.00070125004794621,0.0444451371566158,0.00201220823851503,0.0473453904170677,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,6,0.00145492760889794,0.0356796491073097,0.00271276801583057,0.0480103103966267,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,7,0.000903261380653743,0.0566746948112082,0.000730720195978684,0.0451568962826828,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,8,0.00130328641165738,0.0398294342696329,0.00216706652208552,0.0410711098157678,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,9,0.000976485666220111,0.0612650047876426,0.0023716670101415,0.0395227849387803,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,10,0.00111767792819925,0.0418324866689426,0.00149029733465937,0.0443781388507882,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,11,0.00149613073276075,0.0270602727382014,0.00176749286620145,0.0368139491470452,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,12,0.00145517910019958,0.0403807840068257,0.000817963397463868,0.0534669876359624,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,13,0.00114760408489632,0.0393999046811713,0.00159795163999575,0.0268034087719162,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,14,0.000782810668633615,0.0251631875410829,0.00161980398047774,0.0344621774896505,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,15,0.000948443382432909,0.0227849531676277,0.00120854267995898,0.049024774946542,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,16,0.0011596430406183,0.0526793708930747,0.00134878533294354,0.0211972790623673,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,17,0.00159251259119396,0.0273637137455107,0.00263231441198046,0.041197539647852,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,18,0.0013974804300061,0.0815664397348436,0.00133718553318774,0.0195451996433366,0.609,0.0426,0.25,0.158529501915709
