"Drug","Design","N_per_group","Total_animals","Dose_mgkg","Endpoint","Fraction_within_2fold","Median_fold_error","Fold_error_5th_percentile","Fold_error_95th_percentile"
"Pembrolizumab","2 dose groups",3,6,0.3,"AUC0-28d",1,0.994124040346059,0.741018788058148,1.33130362365707
"Pembrolizumab","2 dose groups",3,6,0.3,"Cmax",0.998,0.985521911473205,0.666952811034431,1.42678907776112
"Pembrolizumab","2 dose groups",3,6,0.3,"Terminal clearance",0.997,0.982040967288639,0.693952395017487,1.33443097099908
"Pembrolizumab","2 dose groups",3,6,10,"AUC0-28d",1,0.992597960187304,0.740843352944799,1.33109766030688
"Pembrolizumab","2 dose groups",3,6,10,"Cmax",0.999,0.982376299045987,0.675255027096961,1.39759584793464
"Pembrolizumab","2 dose groups",3,6,10,"Terminal clearance",1,0.982260987204498,0.702774369448902,1.31543391619972
"Pembrolizumab","2 dose groups",4,8,0.3,"AUC0-28d",1,0.99409852869589,0.783636982548551,1.26375375006376
"Pembrolizumab","2 dose groups",4,8,0.3,"Cmax",1,0.977881060737821,0.695556728642554,1.32785008931365
"Pembrolizumab","2 dose groups",4,8,0.3,"Terminal clearance",0.999,0.98137781363115,0.723927276269732,1.27038406894672
"Pembrolizumab","2 dose groups",4,8,10,"AUC0-28d",1,1.00388326327671,0.782722129426083,1.28376318888872
"Pembrolizumab","2 dose groups",4,8,10,"Cmax",1,0.978707650671246,0.699006901990598,1.37510838031798
"Pembrolizumab","2 dose groups",4,8,10,"Terminal clearance",1,0.986716289340025,0.743035398455466,1.27689056904135
"Pembrolizumab","3 dose groups",2,6,0.3,"AUC0-28d",1,0.989018233482928,0.700591712831655,1.40506933774715
"Pembrolizumab","3 dose groups",2,6,0.3,"Cmax",0.982,0.969869413048959,0.574313835669164,1.48088368608423
"Pembrolizumab","3 dose groups",2,6,0.3,"Terminal clearance",0.996,0.974212570225061,0.648922035217703,1.40824285720012
"Pembrolizumab","3 dose groups",2,6,3,"AUC0-28d",1,0.98447231756622,0.704624878780594,1.42197224079168
"Pembrolizumab","3 dose groups",2,6,3,"Cmax",0.983,0.959251293662991,0.595040920378236,1.52462249695074
"Pembrolizumab","3 dose groups",2,6,3,"Terminal clearance",0.992,0.989989956742667,0.620734574084337,1.41480193524834
