"Scenario_name","Drug","IndividualId","Dose_mgkg","Rich_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose10","Atezolizumab","46",10,41199.8228720329
"Atezolizumab_Monkey_Dose10","Atezolizumab","47",10,35262.1468137036
"Atezolizumab_Monkey_Dose10","Atezolizumab","48",10,42175.3033339543
"Atezolizumab_Monkey_Dose10","Atezolizumab","49",10,50793.6571902625
"Atezolizumab_Monkey_Dose10","Atezolizumab","5",10,37566.1676291275
"Atezolizumab_Monkey_Dose10","Atezolizumab","50",10,45233.2976428621
"Atezolizumab_Monkey_Dose10","Atezolizumab","51",10,45530.620333643
"Atezolizumab_Monkey_Dose10","Atezolizumab","52",10,38095.1573209736
"Atezolizumab_Monkey_Dose10","Atezolizumab","53",10,43376.8800466262
"Atezolizumab_Monkey_Dose10","Atezolizumab","54",10,28923.4348073311
"Atezolizumab_Monkey_Dose10","Atezolizumab","55",10,34363.0149702171
"Atezolizumab_Monkey_Dose10","Atezolizumab","56",10,39083.1856137498
"Atezolizumab_Monkey_Dose10","Atezolizumab","57",10,36649.9636906729
"Atezolizumab_Monkey_Dose10","Atezolizumab","58",10,45625.9941179443
"Atezolizumab_Monkey_Dose10","Atezolizumab","59",10,39736.9100490968
"Atezolizumab_Monkey_Dose10","Atezolizumab","6",10,33762.6416720199
"Atezolizumab_Monkey_Dose10","Atezolizumab","60",10,38463.1748529359
"Atezolizumab_Monkey_Dose10","Atezolizumab","61",10,41312.1943806755
"Atezolizumab_Monkey_Dose10","Atezolizumab","62",10,52979.2935509659
"Atezolizumab_Monkey_Dose10","Atezolizumab","63",10,45285.4316320279
"Atezolizumab_Monkey_Dose10","Atezolizumab","64",10,37409.4315639818
"Atezolizumab_Monkey_Dose10","Atezolizumab","65",10,58409.7679600071
"Atezolizumab_Monkey_Dose10","Atezolizumab","66",10,39041.5439594062
"Atezolizumab_Monkey_Dose10","Atezolizumab","67",10,49042.5892236807
"Atezolizumab_Monkey_Dose10","Atezolizumab","68",10,39124.1321771267
"Atezolizumab_Monkey_Dose10","Atezolizumab","69",10,47861.3693361308
"Atezolizumab_Monkey_Dose10","Atezolizumab","7",10,57698.1684071961
"Atezolizumab_Monkey_Dose10","Atezolizumab","70",10,34135.0366020449
"Atezolizumab_Monkey_Dose10","Atezolizumab","71",10,50400.8394878397
"Atezolizumab_Monkey_Dose10","Atezolizumab","72",10,37446.5993664843
"Atezolizumab_Monkey_Dose10","Atezolizumab","73",10,65826.5151154364
"Atezolizumab_Monkey_Dose10","Atezolizumab","74",10,42774.3776566958
"Atezolizumab_Monkey_Dose10","Atezolizumab","75",10,38906.1248090359
"Atezolizumab_Monkey_Dose10","Atezolizumab","76",10,41422.6151220295
"Atezolizumab_Monkey_Dose10","Atezolizumab","77",10,34698.6590072126
"Atezolizumab_Monkey_Dose10","Atezolizumab","78",10,48526.140107031
"Atezolizumab_Monkey_Dose10","Atezolizumab","79",10,33569.1712965696
"Atezolizumab_Monkey_Dose10","Atezolizumab","8",10,38318.073318648
"Atezolizumab_Monkey_Dose10","Atezolizumab","80",10,40374.4288443539
"Atezolizumab_Monkey_Dose10","Atezolizumab","81",10,42715.2954079985
"Atezolizumab_Monkey_Dose10","Atezolizumab","82",10,46826.623022862
"Atezolizumab_Monkey_Dose10","Atezolizumab","83",10,35807.282124514
"Atezolizumab_Monkey_Dose10","Atezolizumab","84",10,48518.0896703698
"Atezolizumab_Monkey_Dose10","Atezolizumab","85",10,36608.1047892964
"Atezolizumab_Monkey_Dose10","Atezolizumab","86",10,53551.6222122845
"Atezolizumab_Monkey_Dose10","Atezolizumab","87",10,46342.8242342906
"Atezolizumab_Monkey_Dose10","Atezolizumab","88",10,34997.3937419806
"Atezolizumab_Monkey_Dose10","Atezolizumab","89",10,41436.8823917154
"Atezolizumab_Monkey_Dose10","Atezolizumab","9",10,44420.4099135007
"Atezolizumab_Monkey_Dose10","Atezolizumab","90",10,49459.601851017
"Atezolizumab_Monkey_Dose10","Atezolizumab","91",10,37886.8039795991
"Atezolizumab_Monkey_Dose10","Atezolizumab","92",10,37589.8206589385
"Atezolizumab_Monkey_Dose10","Atezolizumab","93",10,40478.909299807
"Atezolizumab_Monkey_Dose10","Atezolizumab","94",10,46646.2087349164
"Atezolizumab_Monkey_Dose10","Atezolizumab","95",10,43043.1032626133
"Atezolizumab_Monkey_Dose10","Atezolizumab","96",10,39343.6414133089
