"Scenario_name","Drug","IndividualId","Dose_mgkg","Sparse_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose10","Atezolizumab","56",10,39408.6059694969
"Atezolizumab_Monkey_Dose10","Atezolizumab","57",10,36918.5258580638
"Atezolizumab_Monkey_Dose10","Atezolizumab","58",10,45983.780791798
"Atezolizumab_Monkey_Dose10","Atezolizumab","59",10,40193.4224047097
"Atezolizumab_Monkey_Dose10","Atezolizumab","6",10,33940.8631813176
"Atezolizumab_Monkey_Dose10","Atezolizumab","60",10,38693.9765620913
"Atezolizumab_Monkey_Dose10","Atezolizumab","61",10,41616.3366464032
"Atezolizumab_Monkey_Dose10","Atezolizumab","62",10,53350.5160500883
"Atezolizumab_Monkey_Dose10","Atezolizumab","63",10,45932.2560791149
"Atezolizumab_Monkey_Dose10","Atezolizumab","64",10,37848.4949884247
"Atezolizumab_Monkey_Dose10","Atezolizumab","65",10,58996.0723336759
"Atezolizumab_Monkey_Dose10","Atezolizumab","66",10,39513.5531322071
"Atezolizumab_Monkey_Dose10","Atezolizumab","67",10,49365.6601172728
"Atezolizumab_Monkey_Dose10","Atezolizumab","68",10,39466.3597872968
"Atezolizumab_Monkey_Dose10","Atezolizumab","69",10,48353.1152464915
"Atezolizumab_Monkey_Dose10","Atezolizumab","7",10,58352.2305267131
"Atezolizumab_Monkey_Dose10","Atezolizumab","70",10,34584.3693808065
"Atezolizumab_Monkey_Dose10","Atezolizumab","71",10,51032.281071376
"Atezolizumab_Monkey_Dose10","Atezolizumab","72",10,37944.8799823585
"Atezolizumab_Monkey_Dose10","Atezolizumab","73",10,66182.4544739063
"Atezolizumab_Monkey_Dose10","Atezolizumab","74",10,43237.5430246157
"Atezolizumab_Monkey_Dose10","Atezolizumab","75",10,39274.746282763
"Atezolizumab_Monkey_Dose10","Atezolizumab","76",10,42518.168748537
"Atezolizumab_Monkey_Dose10","Atezolizumab","77",10,34972.6915289977
"Atezolizumab_Monkey_Dose10","Atezolizumab","78",10,49035.3482848277
"Atezolizumab_Monkey_Dose10","Atezolizumab","79",10,33937.768373409
"Atezolizumab_Monkey_Dose10","Atezolizumab","8",10,38877.8698571437
"Atezolizumab_Monkey_Dose10","Atezolizumab","80",10,40623.4933353779
"Atezolizumab_Monkey_Dose10","Atezolizumab","81",10,43204.3461508959
"Atezolizumab_Monkey_Dose10","Atezolizumab","82",10,47350.5105082675
"Atezolizumab_Monkey_Dose10","Atezolizumab","83",10,36113.6461448647
"Atezolizumab_Monkey_Dose10","Atezolizumab","84",10,48996.7348872381
"Atezolizumab_Monkey_Dose10","Atezolizumab","85",10,37105.7162176224
"Atezolizumab_Monkey_Dose10","Atezolizumab","86",10,54078.0833342464
"Atezolizumab_Monkey_Dose10","Atezolizumab","87",10,46746.8435896177
"Atezolizumab_Monkey_Dose10","Atezolizumab","88",10,35246.3665641511
"Atezolizumab_Monkey_Dose10","Atezolizumab","89",10,41722.9340986759
"Atezolizumab_Monkey_Dose10","Atezolizumab","9",10,44782.8235446848
"Atezolizumab_Monkey_Dose10","Atezolizumab","90",10,49989.6233581256
"Atezolizumab_Monkey_Dose10","Atezolizumab","91",10,38099.9793378622
"Atezolizumab_Monkey_Dose10","Atezolizumab","92",10,37885.3819634497
"Atezolizumab_Monkey_Dose10","Atezolizumab","93",10,40766.1767426905
"Atezolizumab_Monkey_Dose10","Atezolizumab","94",10,47143.5696352598
"Atezolizumab_Monkey_Dose10","Atezolizumab","95",10,43207.8243237116
"Atezolizumab_Monkey_Dose10","Atezolizumab","96",10,39750.4094708131
"Atezolizumab_Monkey_Dose10","Atezolizumab","97",10,42110.5121905454
"Atezolizumab_Monkey_Dose10","Atezolizumab","98",10,29676.3175200619
"Atezolizumab_Monkey_Dose10","Atezolizumab","99",10,50642.2881646863
"Atezolizumab_Monkey_Dose3","Atezolizumab","1",3,10175.1256768368
"Atezolizumab_Monkey_Dose3","Atezolizumab","10",3,15643.3065335432
"Atezolizumab_Monkey_Dose3","Atezolizumab","100",3,11661.2238845003
