"Species","Target","Molecule","Dose (mg/kg)","Parameter varied","Variation (fold)","Varied parameter value","Parameter unit","Reference terminal CL (L/day)","Varied terminal CL (L/day)","Delta terminal CL (%)","Normalized sensitivity coefficient","Normalized sensitivity index (no sensitivity = 1)"
"Human","PD-L1","Atezolizumab",20,"kdeg",0.1,7.1e-05,"1/min",0.156927033560753,0.156841273321241,-0.0546497550907854,0.000237405747472945,1.00023740574747
"Human","PD-L1","Atezolizumab",20,"kdeg",10,0.0071,"1/min",0.156927033560753,0.157503660693856,0.367449202357828,0.00159288687354558,1.00159288687355
"Human","PD-L1","Atezolizumab",20,"kint",0.1,0.00101,"1/min",0.156927033560753,0.156910562036585,-0.0104962948667575,4.55872219370961e-05,1.00004558722194
"Human","PD-L1","Atezolizumab",20,"kint",10,0.101,"1/min",0.156927033560753,0.156929297918412,0.00144293663586481,6.26654897586453e-06,1.00000626654898
"Human","PD-L1","Avelumab",1,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.231649861470013,0.229455104545791,-0.94744581770706,0.00413432120596296,1.00413432120596
"Human","PD-L1","Avelumab",1,"Target reference concentration",10,0.00609,"µmol/l",0.231649861470013,0.254441945067304,9.83902319330401,0.0407566620323743,1.04075666203237
"Human","PD-L1","Avelumab",1,"kdeg",0.1,7.1e-05,"1/min",0.231649861470013,0.229494480324948,-0.93044784546259,0.0040598002380213,1.00405980023802
"Human","PD-L1","Avelumab",1,"kdeg",10,0.0071,"1/min",0.231649861470013,0.253770576666933,9.54920286010346,0.0396092217441188,1.03960922174412
"Human","PD-L1","Avelumab",1,"kint",0.1,0.000416666666666667,"1/min",0.231649861470013,0.231658461748595,0.00371261978211468,-1.61234035492897e-05,0.999983876596451
"Human","PD-L1","Avelumab",1,"kint",10,0.0416666666666667,"1/min",0.231649861470013,0.231658759527767,0.00384116687905944,1.66816554133903e-05,1.00001668165541
"Human","PD-L1","Avelumab",3,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.23041994253754,0.229687791015366,-0.317746595243196,0.0013821529663084,1.00138215296631
"Human","PD-L1","Avelumab",3,"Target reference concentration",10,0.00609,"µmol/l",0.23041994253754,0.237851926565222,3.22540833307898,0.0137866095070423,1.01378660950704
"Human","PD-L1","Avelumab",3,"kdeg",0.1,7.1e-05,"1/min",0.23041994253754,0.229700736780374,-0.312128259926625,0.00135767575815756,1.00135767575816
"Human","PD-L1","Avelumab",3,"kdeg",10,0.0071,"1/min",0.23041994253754,0.237691094820177,3.15560892974878,0.0134928470548141,1.01349284705481
"Human","PD-L1","Avelumab",3,"kint",0.1,0.000416666666666667,"1/min",0.23041994253754,0.230419794987982,-6.40350642955312e-05,2.78100839759727e-07,1.00000027810084
"Human","PD-L1","Avelumab",3,"kint",10,0.0416666666666667,"1/min",0.23041994253754,0.230420091462278,6.46318786490241e-05,2.8069259181468e-07,1.00000028069259
"Human","PD-L1","Avelumab",10,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.23124700132803,0.231026068458297,-0.0955397771492228,0.000415122315240719,1.00041512231524
"Human","PD-L1","Avelumab",10,"Target reference concentration",10,0.00609,"µmol/l",0.23124700132803,0.233471287372226,0.9618658972536,0.00415736826092357,1.00415736826092
"Human","PD-L1","Avelumab",10,"kdeg",0.1,7.1e-05,"1/min",0.23124700132803,0.231029916558185,-0.0938757123761125,0.000407888522793951,1.00040788852279
"Human","PD-L1","Avelumab",10,"kdeg",10,0.0071,"1/min",0.23124700132803,0.233429939655267,0.943985571575201,0.00408044798604724,1.00408044798605
"Human","PD-L1","Avelumab",10,"kint",0.1,0.000416666666666667,"1/min",0.23124700132803,0.231247140933072,6.03705306856384e-05,-2.62185804321964e-07,0.999999737814196
"Human","PD-L1","Avelumab",10,"kint",10,0.0416666666666667,"1/min",0.23124700132803,0.231247167411067,7.18206229599616e-05,3.11912890374776e-07,1.00000031191289
